	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
PGR	0.234	0.045	0.642	0.067	0.222	0.674	0.203	2.887
LNC	0.396	0.072	1.12	0.114	0.372	0.633	0.195	3.011
AZO	0.056	0.011	0.139	0.055	0.187	0.207	0.061	0.741
LM	0.337	0.062	0.813	0.098	0.305	0.637	0.205	2.659
EW	-0.056	-0.012	-0.145	0.095	0.341	-0.127	-0.035	-0.426
CSX	0.253	0.048	0.554	0.11	0.335	0.44	0.144	1.653
TSN	0.051	0.01	0.164	0.061	0.234	0.171	0.045	0.702
CA	0.001	0.0	0.004	0.042	0.164	0.007	0.001	0.028
PRGO	0.099	0.02	0.251	0.097	0.326	0.207	0.061	0.77
AXP	0.143	0.028	0.48	0.091	0.34	0.312	0.083	1.413
REGN	0.495	0.088	1.085	0.164	0.483	0.534	0.182	2.244
PWR	0.524	0.092	1.894	0.094	0.321	0.977	0.288	5.894
ROP	0.145	0.029	0.231	0.091	0.247	0.315	0.117	0.933
XEC	0.732	0.122	2.234	0.113	0.353	1.08	0.346	6.324
WFC	0.138	0.027	0.342	0.097	0.321	0.281	0.085	1.065
WMB	0.189	0.037	0.363	0.117	0.342	0.314	0.108	1.058
IFF	0.305	0.057	0.569	0.088	0.25	0.647	0.229	2.27
NRG	-0.098	-0.021	-0.186	0.097	0.3	-0.22	-0.071	-0.621
PPL	0.155	0.03	0.28	0.064	0.182	0.48	0.168	1.538
COST	0.072	0.014	0.16	0.056	0.177	0.264	0.083	0.901
XRAY	0.077	0.015	0.212	0.075	0.266	0.207	0.058	0.798
MRO	0.069	0.014	0.175	0.136	0.464	0.103	0.03	0.378
MCO	0.023	0.004	0.049	0.109	0.344	0.045	0.014	0.144
DOW	0.119	0.023	0.221	0.1	0.293	0.237	0.081	0.754
FMC	0.011	0.002	0.017	0.113	0.3	0.022	0.008	0.058
COL	0.087	0.017	0.223	0.071	0.239	0.25	0.074	0.931
ACN	-0.055	-0.012	-0.134	0.094	0.327	-0.127	-0.036	-0.412
HBAN	0.373	0.068	0.907	0.086	0.265	0.798	0.259	3.412
ESV	0.429	0.077	1.377	0.099	0.333	0.782	0.233	4.128
HSY	0.24	0.046	0.654	0.048	0.159	0.953	0.291	4.115
ECL	-0.082	-0.017	-0.135	0.08	0.228	-0.222	-0.078	-0.595
KSU	0.754	0.125	2.024	0.116	0.349	1.076	0.358	5.79
UPS	-0.061	-0.013	-0.128	0.066	0.212	-0.2	-0.062	-0.605
LUV	0.325	0.06	0.873	0.094	0.304	0.645	0.199	2.866
FE	-0.059	-0.012	-0.161	0.046	0.169	-0.278	-0.075	-0.951
DISCA	0.12	0.024	0.21	0.078	0.222	0.307	0.108	0.947
VTR	0.006	0.001	0.013	0.099	0.321	0.013	0.004	0.042
