	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
HP	0.159	0.188	10.977	0.122	0.438	1.539	0.429	25.038
CMS	0.145	0.171	1.741	0.089	0.219	1.914	0.783	7.936
ESS	0.138	0.163	1.311	0.089	0.205	1.826	0.794	6.382
MUR	0.108	0.127	3.246	0.131	0.447	0.974	0.286	7.254
PCAR	0.134	0.158	22.899	0.079	0.313	1.989	0.505	73.125
WYN	0.105	0.123	3.412	0.106	0.371	1.158	0.333	9.195
TGT	0.117	0.138	3.761	0.066	0.21	2.09	0.66	17.885
SYY	0.094	0.111	1.04	0.11	0.285	1.007	0.39	3.646
FRT	0.113	0.134	2.102	0.075	0.218	1.763	0.613	9.626
WMT	0.131	0.154	5.23	0.111	0.383	1.382	0.403	13.624
AA	0.154	0.182	19.611	0.104	0.4	1.756	0.456	48.947
CTAS	0.113	0.133	1.041	0.071	0.166	1.869	0.804	6.269
KIM	0.092	0.108	0.927	0.093	0.233	1.163	0.466	3.974
CHRW	0.215	0.255	14.29	0.101	0.31	2.514	0.821	46.052
RIG	0.156	0.184	9298.831	0.086	0.265	2.124	0.694	35059.308
TJX	0.132	0.155	16.23	0.06	0.2	2.593	0.776	80.852
IFF	0.11	0.13	1.041	0.064	0.15	2.021	0.864	6.925
STT	0.119	0.141	4.948	0.061	0.198	2.3	0.712	24.978
NWL	0.095	0.112	2.584	0.094	0.318	1.187	0.351	8.108
SHW	0.115	0.136	1.03	0.106	0.248	1.277	0.547	4.141
BBT	0.095	0.112	2.859	0.041	0.125	2.672	0.892	22.767
WYNN	0.208	0.246	13.118	0.17	0.567	1.449	0.434	23.127
UNH	0.15	0.177	2.532	0.109	0.295	1.622	0.6	8.567
ESV	0.125	0.147	40.272	0.108	0.514	1.356	0.286	78.214
WM	0.092	0.109	0.831	0.078	0.187	1.387	0.581	4.431
BRK-B	0.094	0.111	1.694	0.076	0.226	1.459	0.49	7.474
YUM	0.235	0.279	2032.418	0.203	1.015	1.375	0.275	2000.751
DHI	0.199	0.236	32.891	0.077	0.23	3.044	1.024	142.685
DLTR	0.096	0.113	1.881	0.077	0.235	1.464	0.482	7.979
MYL	0.26	0.31	9.333	0.113	0.303	2.737	1.023	30.789
AMG	0.102	0.12	1.774	0.1	0.297	1.189	0.403	5.967
UAL	0.157	0.185	20.455	0.107	0.416	1.72	0.445	49.082
EXPE	0.097	0.114	2.989	0.117	0.411	0.979	0.279	7.274
PXD	0.095	0.112	1.845	0.127	0.395	0.881	0.284	4.666
MOS	0.106	0.125	2.044	0.12	0.365	1.04	0.344	5.592
AMGN	0.101	0.119	2.625	0.134	0.448	0.891	0.267	5.859
EXR	0.141	0.167	9.871	0.071	0.241	2.327	0.691	40.835
LOW	0.128	0.151	3.255	0.08	0.242	1.887	0.623	13.436
KEY	0.151	0.178	6.208	0.111	0.369	1.597	0.484	16.801
WHR	0.111	0.131	3.396	0.115	0.392	1.131	0.334	8.654
VMC	0.11	0.13	10.111	0.088	0.361	1.481	0.361	28.01
CMI	0.095	0.112	308.787	0.094	0.591	1.182	0.189	522.027
CNX	0.163	0.193	17.956	0.099	0.364	1.942	0.531	49.323
SBUX	0.093	0.109	2.267	0.121	0.404	0.903	0.271	5.607
UHS	0.151	0.178	9.706	0.076	0.251	2.343	0.711	38.612
JWN	0.132	0.156	2.904	0.089	0.263	1.74	0.593	11.039
KMX	0.095	0.112	45.899	0.06	0.268	1.878	0.42	171.209
CCE	0.099	0.116	1.419	0.081	0.225	1.428	0.516	6.284
AVB	0.116	0.137	0.942	0.078	0.174	1.758	0.79	5.406
HRB	0.106	0.125	11.906	0.1	0.44	1.246	0.284	26.999
