	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
MAR	0.109	0.021	0.106	0.124	0.268	0.176	0.081	0.395
TWX	0.045	0.009	0.04	0.132	0.27	0.071	0.034	0.147
EOG	0.426	0.077	0.61	0.117	0.294	0.661	0.263	2.074
PPG	-0.079	-0.017	-0.083	0.119	0.267	-0.144	-0.064	-0.312
CCE	0.032	0.006	0.034	0.098	0.219	0.069	0.031	0.157
PKI	0.058	0.012	0.062	0.106	0.238	0.113	0.05	0.26
HIG	1.146	0.173	1.361	0.165	0.379	1.049	0.457	3.582
SPLS	-0.044	-0.009	-0.055	0.122	0.297	-0.078	-0.032	-0.185
MMM	0.123	0.024	0.148	0.086	0.204	0.288	0.121	0.726
HD	0.479	0.085	0.63	0.086	0.208	0.994	0.412	3.028
WAT	0.004	0.0	0.004	0.128	0.282	0.007	0.003	0.016
AMG	0.535	0.094	0.593	0.14	0.318	0.671	0.296	1.866
AME	0.584	0.101	0.866	0.105	0.264	0.964	0.383	3.272
PCAR	0.202	0.039	0.277	0.124	0.312	0.316	0.126	0.886
AGN	0.338	0.063	0.233	0.149	0.276	0.421	0.228	0.843
CAG	-0.119	-0.026	-0.128	0.084	0.19	-0.313	-0.138	-0.672
K	0.184	0.036	0.185	0.06	0.131	0.599	0.274	1.41
SHW	0.562	0.098	0.69	0.114	0.269	0.857	0.364	2.564
UHS	0.257	0.049	0.19	0.164	0.313	0.299	0.157	0.607
PCLN	0.502	0.089	0.669	0.131	0.319	0.681	0.279	2.098
SE	0.229	0.044	0.277	0.107	0.254	0.412	0.173	1.089
ABC	0.35	0.065	0.534	0.086	0.224	0.75	0.29	2.379
CCI	-0.07	-0.015	-0.072	0.094	0.21	-0.16	-0.072	-0.344
WHR	-0.009	-0.001	-0.009	0.168	0.364	-0.011	-0.005	-0.025
MDLZ	-0.024	-0.005	-0.021	0.09	0.181	-0.058	-0.029	-0.116
ROST	0.062	0.012	0.063	0.098	0.218	0.128	0.058	0.291
MUR	0.245	0.047	0.252	0.148	0.327	0.317	0.143	0.768
CVX	0.212	0.041	0.282	0.105	0.261	0.39	0.157	1.081
VMC	0.349	0.064	0.318	0.138	0.29	0.468	0.223	1.097
NOC	0.139	0.027	0.117	0.122	0.246	0.226	0.112	0.476
PCG	-0.058	-0.012	-0.072	0.071	0.172	-0.178	-0.073	-0.42
PH	0.052	0.01	0.062	0.139	0.33	0.078	0.032	0.19
TGT	-0.017	-0.003	-0.026	0.072	0.197	-0.05	-0.018	-0.136
CELG	0.617	0.106	0.775	0.129	0.307	0.818	0.345	2.522
DIS	-0.197	-0.045	-0.187	0.119	0.253	-0.377	-0.178	-0.741
PSA	-0.1	-0.022	-0.09	0.101	0.208	-0.217	-0.105	-0.433
DO	0.222	0.043	0.536	0.129	0.412	0.332	0.104	1.301
GOOGL	0.296	0.055	0.524	0.08	0.222	0.695	0.251	2.357
XOM	0.195	0.038	0.183	0.101	0.216	0.373	0.176	0.85
CBS	-0.155	-0.034	-0.166	0.128	0.291	-0.27	-0.119	-0.571
KSS	-0.286	-0.068	-0.246	0.13	0.26	-0.524	-0.262	-0.947
SJM	0.173	0.034	0.166	0.074	0.158	0.46	0.215	1.048
FCX	0.633	0.108	0.704	0.176	0.399	0.615	0.271	1.761
MHFI	0.35	0.065	0.398	0.112	0.258	0.579	0.252	1.542
TROW	0.435	0.078	0.516	0.11	0.256	0.717	0.308	2.014
CTSH	0.125	0.025	0.142	0.144	0.334	0.173	0.074	0.426
IVZ	0.279	0.053	0.379	0.151	0.377	0.35	0.14	1.007
WEC	-0.031	-0.006	-0.034	0.08	0.187	-0.081	-0.035	-0.186
TXT	0.398	0.072	0.378	0.154	0.328	0.473	0.222	1.153
MRO	0.258	0.049	0.336	0.159	0.389	0.311	0.127	0.863
SBUX	-0.054	-0.011	-0.068	0.118	0.289	-0.099	-0.04	-0.235
CMCSA	0.245	0.047	0.309	0.104	0.251	0.452	0.187	1.231
TAP	0.529	0.093	0.363	0.112	0.209	0.827	0.445	1.735
NFX	0.069	0.014	0.084	0.186	0.446	0.076	0.031	0.189
IPG	-0.023	-0.004	-0.024	0.152	0.338	-0.032	-0.014	-0.071
PRU	0.57	0.099	0.669	0.145	0.336	0.684	0.295	1.991
M	0.17	0.033	0.211	0.126	0.303	0.266	0.11	0.696
EIX	0.067	0.013	0.068	0.088	0.194	0.155	0.07	0.35
SIG	0.441	0.079	0.495	0.144	0.328	0.554	0.242	1.507
AFL	-0.063	-0.013	-0.066	0.135	0.301	-0.101	-0.045	-0.22
AEP	-0.012	-0.002	-0.01	0.094	0.187	-0.027	-0.013	-0.054
