	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
JBHT	0.253	0.301	1.76	0.12	0.231	2.492	1.3	7.606
CSX	0.233	0.277	3.348	0.126	0.298	2.197	0.93	11.231
NDAQ	0.161	0.19	1.036	0.112	0.224	1.696	0.85	4.624
JEC	0.177	0.209	0.65	0.131	0.212	1.597	0.987	3.067
CELG	0.153	0.181	2.79	0.139	0.387	1.298	0.467	7.201
UNH	0.348	0.417	7.617	0.122	0.278	3.405	1.5	27.375
MHK	0.136	0.161	17.818	0.074	0.274	2.172	0.587	64.916
TE	0.173	0.204	0.857	0.285	0.52	0.718	0.393	1.646
WMB	0.178	0.21	4.604	0.105	0.301	1.991	0.7	15.282
FLR	0.19	0.225	2.637	0.11	0.268	2.041	0.838	9.82
AGN	0.259	0.308	2.27	0.168	0.349	1.826	0.882	6.504
PWR	0.306	0.366	1.966	0.345	0.644	1.059	0.568	3.052
AAL	0.257	0.305	3.388	0.166	0.383	1.839	0.798	8.847
COL	0.181	0.215	3.501	0.067	0.167	3.165	1.287	20.939
ENDP	0.188	0.223	2.353	0.208	0.508	1.069	0.439	4.63
O	0.149	0.176	0.875	0.114	0.223	1.542	0.791	3.914
AZO	0.176	0.208	6.721	0.088	0.263	2.359	0.791	25.543
ABC	0.129	0.152	3.305	0.07	0.209	2.158	0.728	15.79
FLS	0.216	0.256	9.462	0.082	0.225	3.091	1.135	41.914
CCL	0.15	0.178	2.712	0.1	0.274	1.771	0.649	9.891
GWW	0.217	0.257	14.689	0.096	0.288	2.678	0.892	50.872
HES	0.138	0.163	2.696	0.098	0.278	1.664	0.586	9.681
MNST	0.14	0.165	0.892	0.126	0.256	1.309	0.645	3.474
VMC	0.227	0.269	1.238	0.158	0.288	1.701	0.933	4.288
DNB	0.156	0.184	0.943	0.128	0.252	1.438	0.73	3.741
EQT	0.17	0.201	1.923	0.171	0.409	1.178	0.491	4.69
WYNN	0.323	0.386	1.341	0.333	0.538	1.159	0.718	2.493
CVC	0.223	0.264	1.329	0.137	0.257	1.924	1.026	5.156
SYK	0.132	0.156	1.948	0.097	0.257	1.609	0.605	7.556
APC	0.154	0.182	3.27	0.105	0.299	1.73	0.611	10.937
EXC	0.146	0.172	16.64	0.09	0.34	1.911	0.507	48.852
LH	0.196	0.232	1.344	0.106	0.211	2.176	1.1	6.366
REGN	0.218	0.258	3.318	0.17	0.423	1.515	0.611	7.844
ORLY	0.148	0.174	0.979	0.106	0.216	1.645	0.808	4.531
ZION	0.131	0.154	0.84	0.12	0.247	1.282	0.626	3.401
SRCL	0.254	0.303	1.062	0.228	0.377	1.326	0.802	2.815
HRB	0.154	0.182	2.489	0.111	0.296	1.634	0.615	8.388
FCX	0.297	0.355	2.164	0.266	0.516	1.331	0.687	4.187
TJX	0.197	0.233	3.54	0.075	0.183	3.08	1.271	19.263
OXY	0.248	0.295	1.998	0.125	0.252	2.354	1.173	7.925
SHW	0.16	0.189	1.001	0.137	0.272	1.379	0.693	3.669
TXT	0.19	0.224	3.788	0.114	0.305	1.961	0.736	12.399
EXPE	0.456	0.55	6.198	0.203	0.419	2.698	1.312	14.786
MCK	0.265	0.315	1.524	0.104	0.186	3.019	1.694	8.185
LLY	0.161	0.191	0.988	0.137	0.271	1.387	0.704	3.641
AET	0.163	0.193	2.182	0.118	0.295	1.635	0.653	7.378
ETFC	0.152	0.179	2.955	0.154	0.438	1.165	0.41	6.743
VRTX	0.187	0.222	3.979	0.196	0.547	1.132	0.405	7.267
BMY	0.14	0.165	2.98	0.084	0.241	1.955	0.686	12.348
SEE	0.257	0.306	5.077	0.154	0.388	1.982	0.789	13.078
