	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
MAR	0.074	0.087	0.525	0.114	0.256	0.766	0.342	2.051
TWX	-0.084	-0.097	-0.432	0.141	0.332	-0.689	-0.292	-1.301
EOG	0.041	0.048	0.437	0.078	0.218	0.61	0.219	1.997
PPG	-0.066	-0.077	-0.391	0.088	0.218	-0.875	-0.353	-1.79
CCE	-0.069	-0.08	-0.379	0.105	0.251	-0.763	-0.32	-1.509
PKI	0.096	0.113	0.975	0.091	0.227	1.239	0.497	4.29
HIG	0.077	0.09	0.681	0.126	0.31	0.712	0.291	2.195
SPLS	0.068	0.08	3.542	0.137	0.602	0.583	0.132	5.878
MMM	-0.051	-0.059	-0.316	0.074	0.183	-0.804	-0.324	-1.719
HD	-0.021	-0.025	-0.102	0.076	0.155	-0.335	-0.163	-0.654
WAT	0.079	0.093	0.66	0.121	0.289	0.767	0.322	2.283
AMG	0.043	0.051	0.285	0.151	0.34	0.338	0.15	0.838
AME	0.112	0.132	2.853	0.074	0.232	1.775	0.57	12.248
PCAR	0.074	0.087	0.729	0.125	0.321	0.693	0.271	2.267
AGN	0.259	0.308	2.27	0.168	0.349	1.826	0.882	6.504
CAG	-0.051	-0.059	-0.266	0.069	0.155	-0.862	-0.385	-1.717
K	0.124	0.146	1.096	0.046	0.099	3.178	1.481	11.058
SHW	0.16	0.189	1.001	0.137	0.272	1.379	0.693	3.669
UHS	0.101	0.118	0.509	0.14	0.269	0.845	0.441	1.89
PCLN	0.095	0.111	0.827	0.133	0.318	0.835	0.351	2.599
SE	0.007	0.008	0.07	0.08	0.228	0.106	0.037	0.309
ABC	0.129	0.152	3.305	0.07	0.209	2.158	0.728	15.79
CCI	-0.067	-0.078	-0.266	0.104	0.204	-0.748	-0.383	-1.303
WHR	0.064	0.075	1.123	0.077	0.245	0.978	0.309	4.575
MDLZ	-0.029	-0.034	-0.152	0.099	0.217	-0.347	-0.159	-0.703
ROST	0.035	0.041	0.243	0.07	0.164	0.583	0.25	1.483
MUR	0.122	0.143	1.238	0.162	0.396	0.885	0.362	3.126
CVX	-0.022	-0.026	-0.36	0.067	0.276	-0.391	-0.095	-1.302
VMC	0.227	0.269	1.238	0.158	0.288	1.701	0.933	4.288
NOC	0.115	0.135	0.62	0.128	0.249	1.057	0.544	2.486
PCG	-0.051	-0.059	-0.317	0.099	0.248	-0.6	-0.241	-1.277
PH	-0.01	-0.011	-0.055	0.117	0.259	-0.1	-0.045	-0.215
TGT	0.03	0.035	0.32	0.073	0.208	0.48	0.169	1.54
