	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
FOX	0.638	0.134	1.115	0.096	0.229	1.401	0.587	4.851
DOV	0.486	0.106	0.619	0.14	0.304	0.76	0.35	2.033
MAC	0.384	0.087	0.624	0.117	0.281	0.741	0.309	2.219
JEC	0.52	0.113	0.649	0.133	0.286	0.848	0.395	2.263
BK	0.556	0.12	0.708	0.144	0.311	0.832	0.385	2.273
HIG	0.992	0.193	1.519	0.173	0.391	1.117	0.493	3.88
MHFI	0.377	0.085	0.55	0.107	0.247	0.792	0.345	2.219
HD	0.512	0.112	1.004	0.088	0.221	1.269	0.504	4.528
MOS	0.609	0.129	1.48	0.125	0.338	1.033	0.384	4.379
COG	0.451	0.1	0.699	0.162	0.38	0.618	0.263	1.839
HP	0.371	0.084	0.375	0.185	0.366	0.455	0.23	1.023
KSU	0.579	0.124	0.903	0.154	0.359	0.805	0.346	2.513
AME	0.424	0.094	0.71	0.11	0.267	0.855	0.354	2.652
HES	0.886	0.176	2.596	0.128	0.35	1.38	0.505	7.415
AMP	0.911	0.18	1.079	0.149	0.31	1.209	0.581	3.475
C	0.854	0.171	2.78	0.162	0.462	1.057	0.371	6.015
PCLN	0.371	0.084	0.635	0.13	0.319	0.647	0.264	1.987
CELG	0.402	0.09	0.588	0.127	0.293	0.71	0.308	2.007
OI	0.496	0.108	0.942	0.158	0.4	0.685	0.272	2.354
FLS	0.718	0.149	1.2	0.117	0.275	1.269	0.54	4.357
DE	0.414	0.092	0.642	0.116	0.273	0.797	0.339	2.347
SCHW	0.381	0.086	0.61	0.156	0.373	0.552	0.231	1.632
DHI	0.452	0.1	0.543	0.184	0.391	0.544	0.256	1.386
BXP	0.594	0.127	0.715	0.093	0.195	1.361	0.649	3.652
CNX	0.427	0.095	0.598	0.16	0.363	0.594	0.263	1.649
ETFC	0.555	0.12	0.925	0.175	0.418	0.685	0.286	2.21
MAS	0.934	0.184	1.325	0.195	0.432	0.944	0.426	3.062
THC	0.446	0.099	0.55	0.178	0.383	0.556	0.259	1.437
WYN	0.493	0.108	0.662	0.138	0.306	0.78	0.353	2.156
NOV	0.507	0.111	0.787	0.154	0.36	0.719	0.307	2.184
NEE	0.392	0.088	0.638	0.085	0.204	1.034	0.433	3.122
BA	0.426	0.095	0.726	0.106	0.257	0.899	0.37	2.822
AMG	0.471	0.104	0.673	0.137	0.312	0.755	0.332	2.153
NUE	0.539	0.117	0.731	0.135	0.3	0.862	0.389	2.437
SIG	0.381	0.086	0.484	0.156	0.34	0.552	0.253	1.422
AXP	0.53	0.115	0.621	0.135	0.283	0.851	0.406	2.19
TROW	0.505	0.11	0.833	0.106	0.254	1.036	0.435	3.282
HBI	0.438	0.097	0.458	0.145	0.291	0.671	0.334	1.569
EMN	0.392	0.088	0.597	0.123	0.287	0.719	0.308	2.077
RCL	0.45	0.1	0.816	0.177	0.441	0.565	0.226	1.85
DVN	0.433	0.096	0.471	0.136	0.277	0.711	0.349	1.701
TAP	0.408	0.091	0.322	0.117	0.208	0.782	0.44	1.544
PRU	0.604	0.128	0.946	0.142	0.33	0.906	0.389	2.86
MET	0.502	0.11	0.815	0.128	0.305	0.853	0.359	2.664
PNR	0.596	0.127	0.865	0.137	0.311	0.925	0.409	2.777
EQT	0.5	0.109	0.544	0.151	0.307	0.725	0.356	1.77
LM	0.508	0.111	0.808	0.143	0.337	0.775	0.329	2.393
CB	0.511	0.111	0.677	0.087	0.191	1.272	0.582	3.537
DISCA	0.421	0.094	0.415	0.126	0.246	0.748	0.382	1.685
RRC	0.552	0.119	0.658	0.183	0.386	0.651	0.308	1.703
