	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
WMT	0.131	0.154	5.23	0.111	0.383	1.382	0.403	13.624
MS	0.067	0.079	1.282	0.079	0.257	0.997	0.308	4.98
URI	0.088	0.104	71.892	0.068	0.361	1.521	0.288	199.089
COG	0.065	0.077	2.812	0.039	0.148	1.93	0.518	18.895
MKC	0.067	0.079	2.542	0.069	0.272	1.14	0.29	9.335
MCD	0.063	0.074	1.811	0.065	0.242	1.131	0.307	7.479
BRK-B	0.094	0.111	1.694	0.076	0.226	1.459	0.49	7.474
GILD	0.072	0.085	1.155	0.078	0.238	1.079	0.357	4.851
NI	0.063	0.074	0.81	0.087	0.25	0.848	0.296	3.243
WYN	0.105	0.123	3.412	0.106	0.371	1.158	0.333	9.195
KMX	0.095	0.112	45.899	0.06	0.268	1.878	0.42	171.209
REGN	0.076	0.09	1.667	0.166	0.558	0.542	0.161	2.986
EXR	0.141	0.167	9.871	0.071	0.241	2.327	0.691	40.835
KIM	0.092	0.108	0.927	0.093	0.233	1.163	0.466	3.974
STJ	0.069	0.081	68.667	0.096	0.652	0.849	0.125	105.25
AA	0.154	0.182	19.611	0.104	0.4	1.756	0.456	48.947
HBAN	0.088	0.103	1.088	0.101	0.275	1.019	0.376	3.949
HIG	0.069	0.081	0.971	0.119	0.351	0.68	0.232	2.762
TGT	0.117	0.138	3.761	0.066	0.21	2.09	0.66	17.885
CTAS	0.113	0.133	1.041	0.071	0.166	1.869	0.804	6.269
WHR	0.111	0.131	3.396	0.115	0.392	1.131	0.334	8.654
M	0.077	0.09	2.241	0.076	0.273	1.183	0.332	8.183
AMG	0.102	0.12	1.774	0.1	0.297	1.189	0.403	5.967
IFF	0.11	0.13	1.041	0.064	0.15	2.021	0.864	6.925
FRT	0.113	0.134	2.102	0.075	0.218	1.763	0.613	9.626
EXPE	0.097	0.114	2.989	0.117	0.411	0.979	0.279	7.274
VMC	0.11	0.13	10.111	0.088	0.361	1.481	0.361	28.01
EXPD	0.07	0.082	1.584	0.049	0.162	1.663	0.507	9.779
WMB	0.077	0.09	1.836	0.096	0.329	0.94	0.275	5.579
ESV	0.125	0.147	40.272	0.108	0.514	1.356	0.286	78.214
ETFC	0.073	0.085	33.876	0.042	0.169	2.015	0.505	199.956
LOW	0.128	0.151	3.255	0.08	0.242	1.887	0.623	13.436
OXY	0.062	0.072	0.992	0.081	0.253	0.891	0.287	3.92
NOC	0.091	0.107	1.336	0.1	0.285	1.072	0.376	4.682
TJX	0.132	0.155	16.23	0.06	0.2	2.593	0.776	80.852
PXD	0.095	0.112	1.845	0.127	0.395	0.881	0.284	4.666
MUR	0.108	0.127	3.246	0.131	0.447	0.974	0.286	7.254
SBUX	0.093	0.109	2.267	0.121	0.404	0.903	0.271	5.607
HRB	0.106	0.125	11.906	0.1	0.44	1.246	0.284	26.999
DO	0.074	0.087	6.544	0.056	0.245	1.564	0.358	26.688
KEY	0.151	0.178	6.208	0.111	0.369	1.597	0.484	16.801
WBA	0.066	0.078	0.664	0.159	0.414	0.491	0.189	1.603
CF	0.084	0.099	1.192	0.101	0.29	0.973	0.34	4.102
CTXS	0.069	0.081	1.239	0.093	0.296	0.871	0.274	4.176
AN	0.074	0.087	8.604	0.039	0.152	2.197	0.574	56.592
ROST	0.087	0.103	1.419	0.095	0.283	1.076	0.363	5.008
O	0.074	0.086	1.268	0.069	0.212	1.252	0.408	5.963
MNST	0.061	0.072	0.829	0.112	0.329	0.645	0.219	2.52
MYL	0.26	0.31	9.333	0.113	0.303	2.737	1.023	30.789
JWN	0.132	0.156	2.904	0.089	0.263	1.74	0.593	11.039
ALL	0.072	0.084	0.765	0.057	0.149	1.471	0.568	5.125
NDAQ	0.072	0.084	2.52	0.059	0.221	1.424	0.382	11.361
EIX	0.061	0.072	1.052	0.071	0.226	1.01	0.319	4.649
STT	0.119	0.141	4.948	0.061	0.198	2.3	0.712	24.978
COF	0.072	0.084	1.226	0.056	0.17	1.503	0.496	7.176
WYNN	0.208	0.246	13.118	0.17	0.567	1.449	0.434	23.127
PCAR	0.134	0.158	22.899	0.079	0.313	1.989	0.505	73.125
DLTR	0.096	0.113	1.881	0.077	0.235	1.464	0.482	7.979
SYK	0.087	0.102	1.494	0.094	0.284	1.084	0.359	5.253
SEE	0.088	0.103	7.409	0.069	0.297	1.482	0.348	24.926
GLW	0.064	0.076	6.244	0.058	0.277	1.305	0.274	22.523
HCN	0.076	0.09	0.758	0.093	0.236	0.966	0.379	3.201
SPG	0.09	0.106	0.943	0.073	0.185	1.45	0.576	5.097
UNH	0.15	0.177	2.532	0.109	0.295	1.622	0.6	8.567
YUM	0.235	0.279	2032.418	0.203	1.015	1.375	0.275	2000.751
BXP	0.074	0.087	0.87	0.055	0.146	1.585	0.596	5.926
SPLS	0.075	0.088	1.929	0.092	0.325	0.948	0.27	5.921
EMN	0.088	0.103	5.96	0.078	0.327	1.322	0.317	18.217
AVB	0.116	0.137	0.942	0.078	0.174	1.758	0.79	5.406
SHW	0.115	0.136	1.03	0.106	0.248	1.277	0.547	4.141
MOS	0.106	0.125	2.044	0.12	0.365	1.04	0.344	5.592
EFX	0.069	0.081	2.345	0.068	0.259	1.187	0.313	9.035
EQR	0.062	0.073	0.847	0.075	0.22	0.97	0.333	3.838
NWL	0.095	0.112	2.584	0.094	0.318	1.187	0.351	8.108
BBT	0.095	0.112	2.859	0.041	0.125	2.672	0.892	22.767
ES	0.084	0.099	1.263	0.079	0.228	1.248	0.432	5.518
HD	0.078	0.092	5.708	0.064	0.277	1.424	0.332	20.603
FMC	0.074	0.087	0.797	0.085	0.224	1.024	0.391	3.555
CCE	0.099	0.116	1.419	0.081	0.225	1.428	0.516	6.284
K	0.07	0.082	1.754	0.048	0.162	1.704	0.509	10.776
UAL	0.157	0.185	20.455	0.107	0.416	1.72	0.445	49.082
WM	0.092	0.109	0.831	0.078	0.187	1.387	0.581	4.431
HP	0.159	0.188	10.977	0.122	0.438	1.539	0.429	25.038
APH	0.061	0.071	0.741	0.077	0.218	0.923	0.329	3.399
UHS	0.151	0.178	9.706	0.076	0.251	2.343	0.711	38.612
CTSH	0.073	0.086	2.058	0.075	0.269	1.142	0.319	7.626
CMA	0.077	0.09	7.05	0.061	0.273	1.473	0.332	25.814
DHR	0.073	0.086	1.25	0.084	0.261	1.017	0.329	4.783
ESS	0.138	0.163	1.311	0.089	0.205	1.826	0.794	6.382
RIG	0.156	0.184	9298.831	0.086	0.265	2.124	0.694	35059.308
CMS	0.145	0.171	1.741	0.089	0.219	1.914	0.783	7.936
JBHT	0.088	0.103	3.602	0.058	0.211	1.77	0.491	17.037
CNX	0.163	0.193	17.956	0.099	0.364	1.942	0.531	49.323
LMT	0.081	0.095	2.18	0.072	0.249	1.315	0.382	8.748
CMI	0.095	0.112	308.787	0.094	0.591	1.182	0.189	522.027
AMGN	0.101	0.119	2.625	0.134	0.448	0.891	0.267	5.859
DHI	0.199	0.236	32.891	0.077	0.23	3.044	1.024	142.685
SYY	0.094	0.111	1.04	0.11	0.285	1.007	0.39	3.646
