	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
AA	0.717	0.148	3.88	0.084	0.268	1.762	0.555	14.471
MS	0.787	0.16	3.998	0.128	0.409	1.252	0.392	9.774
URI	0.652	0.137	1.822	0.183	0.515	0.749	0.266	3.532
HAR	0.251	0.059	0.77	0.108	0.339	0.545	0.174	2.267
IP	0.321	0.074	1.035	0.104	0.327	0.707	0.226	3.164
COG	0.361	0.082	1.067	0.162	0.49	0.505	0.167	2.176
CBS	0.379	0.086	0.954	0.149	0.423	0.575	0.203	2.255
TRV	0.205	0.049	0.44	0.076	0.209	0.643	0.234	2.104
CBG	0.512	0.111	1.419	0.108	0.308	1.031	0.363	4.607
TGNA	0.276	0.064	1.046	0.083	0.278	0.774	0.232	3.755
HBI	0.382	0.086	1.428	0.111	0.358	0.78	0.241	3.986
STT	0.3	0.069	0.938	0.098	0.306	0.705	0.227	3.058
WYN	0.311	0.072	0.698	0.127	0.351	0.563	0.205	1.988
REGN	0.388	0.087	1.005	0.164	0.47	0.533	0.186	2.135
CVS	0.21	0.05	0.525	0.068	0.2	0.727	0.249	2.615
ROP	0.263	0.061	0.532	0.096	0.257	0.637	0.24	2.071
LM	0.291	0.067	0.825	0.107	0.322	0.631	0.209	2.557
CTXS	0.479	0.105	2.385	0.107	0.366	0.983	0.288	6.512
CVX	0.227	0.053	0.642	0.077	0.234	0.699	0.229	2.737
HBAN	0.262	0.061	0.855	0.082	0.262	0.745	0.234	3.254
HIG	0.415	0.093	1.514	0.096	0.305	0.963	0.304	4.953
WHR	0.678	0.142	2.686	0.145	0.448	0.975	0.316	5.992
NEM	0.397	0.089	1.798	0.075	0.251	1.193	0.356	7.139
AMG	0.54	0.117	2.111	0.136	0.429	0.86	0.272	4.911
MHK	0.618	0.131	2.364	0.098	0.298	1.337	0.44	7.919
VLO	0.383	0.086	0.725	0.143	0.366	0.603	0.236	1.977
FOXA	0.424	0.094	1.155	0.086	0.248	1.091	0.381	4.647
HES	0.437	0.097	2.441	0.068	0.237	1.425	0.411	10.292
EXPE	0.242	0.057	0.729	0.132	0.414	0.432	0.138	1.762
PWR	0.47	0.103	2.369	0.096	0.329	1.075	0.315	7.179
PHM	0.604	0.128	2.553	0.134	0.426	0.96	0.302	5.988
HON	0.664	0.139	2.394	0.078	0.228	1.777	0.611	10.493
ESV	0.27	0.063	0.873	0.097	0.308	0.65	0.205	2.831
A	0.553	0.119	3.074	0.094	0.322	1.259	0.37	9.524
FLS	0.412	0.092	1.819	0.084	0.282	1.092	0.327	6.437
LOW	0.29	0.067	1.33	0.094	0.333	0.718	0.202	3.985
OXY	0.311	0.072	1.194	0.117	0.391	0.613	0.184	3.053
FTR	0.535	0.116	4.017	0.09	0.331	1.284	0.35	12.126
MMC	0.212	0.05	0.757	0.066	0.221	0.763	0.228	3.426
CNP	0.285	0.066	1.085	0.093	0.314	0.706	0.211	3.455
NKE	0.255	0.06	0.612	0.086	0.245	0.696	0.245	2.499
RF	0.437	0.097	2.444	0.077	0.272	1.254	0.357	8.962
HRB	0.446	0.099	1.347	0.108	0.321	0.914	0.308	4.192
TMK	0.601	0.128	3.407	0.062	0.199	2.048	0.642	17.047
NSC	0.226	0.053	0.749	0.085	0.277	0.628	0.193	2.703
PFG	0.451	0.1	2.098	0.079	0.264	1.258	0.378	7.924
KEY	0.334	0.076	0.961	0.085	0.255	0.894	0.3	3.762
MAS	0.367	0.083	2.085	0.099	0.366	0.838	0.228	5.691
ABT	0.208	0.049	0.661	0.063	0.201	0.789	0.247	3.286
PGR	0.233	0.055	0.788	0.062	0.203	0.878	0.271	3.871
GMCR	0.695	0.144	2.426	0.197	0.588	0.734	0.246	4.119
PCLN	0.569	0.122	2.224	0.121	0.38	1.004	0.321	5.842
DHI	0.502	0.11	1.61	0.129	0.386	0.852	0.285	4.166
TSO	0.31	0.071	1.394	0.13	0.458	0.55	0.156	3.04
CTAS	0.249	0.058	0.795	0.1	0.318	0.587	0.184	2.499
DLTR	0.259	0.06	1.03	0.086	0.297	0.701	0.205	3.47
TMO	0.31	0.071	0.838	0.085	0.249	0.843	0.288	3.361
FOX	0.589	0.126	1.713	0.084	0.238	1.488	0.53	7.197
LEN	0.414	0.092	1.76	0.139	0.466	0.666	0.199	3.773
BWA	0.315	0.072	1.137	0.114	0.372	0.637	0.195	3.053
LNC	0.465	0.103	2.108	0.122	0.41	0.84	0.251	5.139
LUV	0.301	0.069	0.942	0.098	0.306	0.707	0.227	3.072
RL	0.318	0.073	1.066	0.118	0.375	0.621	0.195	2.841
FLR	0.434	0.096	3.331	0.072	0.272	1.342	0.356	12.241
BDX	0.214	0.051	0.61	0.064	0.195	0.799	0.261	3.12
BXP	0.205	0.049	0.491	0.098	0.283	0.497	0.173	1.731
ADS	0.218	0.052	0.554	0.105	0.308	0.494	0.168	1.794
BA	0.208	0.049	1.133	0.057	0.221	0.866	0.224	5.111
ADSK	0.357	0.081	2.462	0.075	0.288	1.084	0.282	8.526
BLL	0.25	0.058	0.881	0.093	0.308	0.629	0.191	2.859
UNP	0.466	0.103	1.853	0.097	0.31	1.063	0.332	5.977
IVZ	0.496	0.109	1.948	0.111	0.353	0.979	0.308	5.519
SHW	0.404	0.091	1.705	0.074	0.242	1.227	0.374	7.022
