	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
FRT	0.113	0.134	2.102	0.075	0.218	1.763	0.613	9.626
O	0.074	0.086	1.268	0.069	0.212	1.252	0.408	5.963
CCE	0.099	0.116	1.419	0.081	0.225	1.428	0.516	6.284
TJX	0.132	0.155	16.23	0.06	0.2	2.593	0.776	80.852
AMG	0.102	0.12	1.774	0.1	0.297	1.189	0.403	5.967
SPG	0.09	0.106	0.943	0.073	0.185	1.45	0.576	5.097
BXP	0.074	0.087	0.87	0.055	0.146	1.585	0.596	5.926
SRCL	0.067	0.079	0.527	0.07	0.163	1.133	0.484	3.219
DLTR	0.096	0.113	1.881	0.077	0.235	1.464	0.482	7.979
DHI	0.199	0.236	32.891	0.077	0.23	3.044	1.024	142.685
UNH	0.15	0.177	2.532	0.109	0.295	1.622	0.6	8.567
JWN	0.132	0.156	2.904	0.089	0.263	1.74	0.593	11.039
MHFI	0.031	0.036	3.707	0.015	0.03	2.372	1.182	120.172
STT	0.119	0.141	4.948	0.061	0.198	2.3	0.712	24.978
EXR	0.141	0.167	9.871	0.071	0.241	2.327	0.691	40.835
UHS	0.151	0.178	9.706	0.076	0.251	2.343	0.711	38.612
COG	0.065	0.077	2.812	0.039	0.148	1.93	0.518	18.895
LOW	0.128	0.151	3.255	0.08	0.242	1.887	0.623	13.436
ES	0.084	0.099	1.263	0.079	0.228	1.248	0.432	5.518
CMS	0.145	0.171	1.741	0.089	0.219	1.914	0.783	7.936
UAL	0.157	0.185	20.455	0.107	0.416	1.72	0.445	49.082
SHW	0.115	0.136	1.03	0.106	0.248	1.277	0.547	4.141
IFF	0.11	0.13	1.041	0.064	0.15	2.021	0.864	6.925
ETFC	0.073	0.085	33.876	0.042	0.169	2.015	0.505	199.956
TYC	0.05	0.059	1.173	0.037	0.13	1.574	0.454	9.006
BRK-B	0.094	0.111	1.694	0.076	0.226	1.459	0.49	7.474
WYNN	0.208	0.246	13.118	0.17	0.567	1.449	0.434	23.127
COF	0.072	0.084	1.226	0.056	0.17	1.503	0.496	7.176
KMX	0.095	0.112	45.899	0.06	0.268	1.878	0.42	171.209
RIG	0.156	0.184	9298.831	0.086	0.265	2.124	0.694	35059.308
AA	0.154	0.182	19.611	0.104	0.4	1.756	0.456	48.947
CTAS	0.113	0.133	1.041	0.071	0.166	1.869	0.804	6.269
EXPD	0.07	0.082	1.584	0.049	0.162	1.663	0.507	9.779
KEY	0.151	0.178	6.208	0.111	0.369	1.597	0.484	16.801
ESS	0.138	0.163	1.311	0.089	0.205	1.826	0.794	6.382
BBT	0.095	0.112	2.859	0.041	0.125	2.672	0.892	22.767
PCAR	0.134	0.158	22.899	0.079	0.313	1.989	0.505	73.125
TGT	0.117	0.138	3.761	0.066	0.21	2.09	0.66	17.885
AVB	0.116	0.137	0.942	0.078	0.174	1.758	0.79	5.406
AN	0.074	0.087	8.604	0.039	0.152	2.197	0.574	56.592
KIM	0.092	0.108	0.927	0.093	0.233	1.163	0.466	3.974
HP	0.159	0.188	10.977	0.122	0.438	1.539	0.429	25.038
JBHT	0.088	0.103	3.602	0.058	0.211	1.77	0.491	17.037
MYL	0.26	0.31	9.333	0.113	0.303	2.737	1.023	30.789
K	0.07	0.082	1.754	0.048	0.162	1.704	0.509	10.776
CHRW	0.215	0.255	14.29	0.101	0.31	2.514	0.821	46.052
LEG	0.055	0.064	0.85	0.05	0.153	1.29	0.422	5.55
ALL	0.072	0.084	0.765	0.057	0.149	1.471	0.568	5.125
CNX	0.163	0.193	17.956	0.099	0.364	1.942	0.531	49.323
WM	0.092	0.109	0.831	0.078	0.187	1.387	0.581	4.431
