	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
FRT	0.113	0.134	2.102	0.075	0.218	1.763	0.613	9.626
L	-0.032	-0.037	-0.498	0.025	0.101	-1.462	-0.371	-4.922
TMO	-0.028	-0.033	-0.383	0.096	0.367	-0.342	-0.089	-1.044
AET	0.018	0.021	0.338	0.066	0.245	0.327	0.088	1.38
UTX	0.027	0.031	0.362	0.066	0.209	0.478	0.152	1.731
NWL	0.095	0.112	2.584	0.094	0.318	1.187	0.351	8.108
CME	0.023	0.027	0.247	0.076	0.217	0.365	0.128	1.137
AMG	0.102	0.12	1.774	0.1	0.297	1.189	0.403	5.967
DOV	0.027	0.031	2.87	0.057	0.368	0.553	0.086	7.781
IP	-0.001	-0.001	-0.015	0.089	0.331	-0.013	-0.003	-0.047
PPL	0.032	0.037	0.222	0.081	0.189	0.466	0.2	1.176
CELG	-0.013	-0.016	-0.295	0.114	0.535	-0.139	-0.029	-0.55
CBG	-0.091	-0.105	-0.577	0.118	0.327	-0.892	-0.323	-1.765
RRC	-0.041	-0.048	-0.51	0.078	0.297	-0.613	-0.162	-1.714
AEP	-0.014	-0.017	-0.12	0.097	0.265	-0.175	-0.064	-0.451
BAC	0.012	0.014	0.134	0.131	0.388	0.111	0.037	0.345
TXT	0.0	0.0	0.006	0.042	0.21	0.006	0.001	0.031
UHS	0.151	0.178	9.706	0.076	0.251	2.343	0.711	38.612
TSO	-0.01	-0.012	-0.089	0.109	0.306	-0.11	-0.039	-0.292
UNP	-0.104	-0.12	-0.604	0.068	0.177	-1.755	-0.679	-3.401
MCO	0.039	0.045	1.104	0.069	0.281	0.655	0.162	3.916
LVLT	-0.012	-0.014	-0.193	0.066	0.252	-0.223	-0.058	-0.765
AIZ	0.016	0.018	0.336	0.08	0.315	0.236	0.06	1.067
GOOGL	0.031	0.036	0.624	0.111	0.409	0.328	0.089	1.523
TSN	0.05	0.059	6.915	0.051	0.28	1.149	0.21	24.618
ESV	0.125	0.147	40.272	0.108	0.514	1.356	0.286	78.214
WBA	0.066	0.078	0.664	0.159	0.414	0.491	0.189	1.603
M	0.077	0.09	2.241	0.076	0.273	1.183	0.332	8.183
SBUX	0.093	0.109	2.267	0.121	0.404	0.903	0.271	5.607
WYNN	0.208	0.246	13.118	0.17	0.567	1.449	0.434	23.127
SCG	-0.062	-0.072	-0.536	0.084	0.268	-0.851	-0.267	-1.995
IPG	-0.017	-0.02	-0.195	0.094	0.305	-0.219	-0.068	-0.638
OI	-0.063	-0.074	-0.602	0.091	0.315	-0.804	-0.234	-1.908
AXP	0.003	0.003	0.494	0.004	0.04	0.807	0.09	12.052
PHM	0.002	0.002	0.055	0.072	0.309	0.041	0.009	0.178
VFC	0.013	0.015	0.172	0.072	0.232	0.215	0.066	0.741
PBCT	0.032	0.038	0.383	0.1	0.296	0.379	0.129	1.293
MLM	-0.033	-0.038	-0.482	0.062	0.254	-0.616	-0.152	-1.892
K	0.07	0.082	1.754	0.048	0.162	1.704	0.509	10.776
IFF	0.11	0.13	1.041	0.064	0.15	2.021	0.864	6.925
IRM	-0.043	-0.05	-0.411	0.078	0.252	-0.636	-0.198	-1.629
FOXA	-0.121	-0.14	-0.663	0.082	0.214	-1.696	-0.655	-3.097
HCN	0.076	0.09	0.758	0.093	0.236	0.966	0.379	3.201
APD	0.007	0.008	0.085	0.048	0.153	0.172	0.054	0.558
AMP	0.032	0.037	0.528	0.058	0.194	0.654	0.194	2.711
JCI	-0.028	-0.032	-0.55	0.038	0.183	-0.847	-0.177	-2.991
WHR	0.111	0.131	3.396	0.115	0.392	1.131	0.334	8.654
GMCR	0.043	0.05	13.428	0.03	0.151	1.649	0.333	88.391
PNR	0.06	0.07	1.516	0.072	0.26	0.977	0.271	5.819
DIS	0.032	0.037	0.293	0.118	0.313	0.317	0.12	0.937
MUR	0.108	0.127	3.246	0.131	0.447	0.974	0.286	7.254
ZBH	-0.045	-0.052	-0.517	0.087	0.321	-0.597	-0.163	-1.608
LH	-0.055	-0.064	-0.415	0.08	0.227	-0.802	-0.284	-1.823
CMA	0.077	0.09	7.05	0.061	0.273	1.473	0.332	25.814
MO	-0.006	-0.008	-0.035	0.091	0.195	-0.087	-0.041	-0.182
REGN	0.076	0.09	1.667	0.166	0.558	0.542	0.161	2.986
RHI	0.039	0.046	1.002	0.04	0.154	1.128	0.296	6.469
AON	0.03	0.035	0.522	0.034	0.118	1.021	0.3	4.403
ESRX	0.036	0.042	1.447	0.079	0.368	0.529	0.114	3.928
HRL	0.029	0.034	2.409	0.027	0.149	1.239	0.231	16.084
AMT	-0.128	-0.148	-0.628	0.089	0.216	-1.657	-0.685	-2.909
RTN	0.015	0.017	0.152	0.103	0.294	0.172	0.06	0.517
FLS	0.022	0.026	0.665	0.089	0.398	0.292	0.066	1.669
NDAQ	0.072	0.084	2.52	0.059	0.221	1.424	0.382	11.361
WMB	0.077	0.09	1.836	0.096	0.329	0.94	0.275	5.579
LLY	0.004	0.005	0.045	0.095	0.271	0.058	0.02	0.166
ACN	-0.092	-0.107	-0.624	0.097	0.283	-1.094	-0.377	-2.201
CSCO	0.003	0.003	0.023	0.093	0.244	0.037	0.014	0.097
SWK	0.008	0.01	0.281	0.02	0.099	0.506	0.104	2.826
GD	0.011	0.013	0.216	0.074	0.285	0.182	0.047	0.757
BWA	-0.003	-0.004	-0.082	0.058	0.261	-0.074	-0.016	-0.314
KR	-0.006	-0.007	-0.04	0.138	0.319	-0.055	-0.024	-0.125
KO	-0.034	-0.04	-0.299	0.056	0.164	-0.717	-0.244	-1.817
STI	0.025	0.029	0.526	0.108	0.412	0.274	0.072	1.276
EFX	0.069	0.081	2.345	0.068	0.259	1.187	0.313	9.035
CTAS	0.113	0.133	1.041	0.071	0.166	1.869	0.804	6.269
HST	0.01	0.012	0.116	0.08	0.236	0.159	0.054	0.492
BRK-B	0.094	0.111	1.694	0.076	0.226	1.459	0.49	7.474
STT	0.119	0.141	4.948	0.061	0.198	2.3	0.712	24.978
D	-0.015	-0.018	-0.1	0.078	0.188	-0.234	-0.097	-0.533
AEE	0.012	0.014	0.122	0.095	0.275	0.147	0.05	0.445
MAR	0.028	0.033	0.56	0.058	0.214	0.57	0.155	2.609
BEN	0.03	0.035	0.874	0.038	0.159	0.923	0.223	5.498
RIG	0.156	0.184	9298.831	0.086	0.265	2.124	0.694	35059.308
FTR	-0.077	-0.089	-0.542	0.103	0.296	-0.868	-0.303	-1.831
HON	0.006	0.007	0.111	0.074	0.276	0.104	0.028	0.403
TSCO	0.025	0.029	0.525	0.08	0.304	0.371	0.097	1.727
HBI	0.013	0.016	0.087	0.123	0.284	0.13	0.056	0.308
SIG	0.011	0.013	0.369	0.056	0.278	0.231	0.047	1.325
CSX	0.056	0.066	1.386	0.07	0.255	0.939	0.26	5.423
UNM	-0.012	-0.014	-0.167	0.05	0.182	-0.28	-0.078	-0.918
CA	-0.012	-0.014	-0.408	0.015	0.088	-0.925	-0.163	-4.613
ALL	0.072	0.084	0.765	0.057	0.149	1.471	0.568	5.125
AIV	0.001	0.001	0.006	0.098	0.213	0.013	0.006	0.029
AIG	-0.011	-0.013	-0.127	0.089	0.28	-0.154	-0.049	-0.455
WMT	0.131	0.154	5.23	0.111	0.383	1.382	0.403	13.624
EQR	0.062	0.073	0.847	0.075	0.22	0.97	0.333	3.838
BXP	0.074	0.087	0.87	0.055	0.146	1.585	0.596	5.926
ORLY	0.018	0.022	0.344	0.084	0.312	0.261	0.07	1.101
DVA	-0.049	-0.057	-0.337	0.051	0.135	-1.111	-0.425	-2.501
LNC	-0.047	-0.054	-0.363	0.067	0.19	-0.814	-0.289	-1.915
HOG	0.023	0.027	5.875	0.042	0.336	0.643	0.08	17.446
DISCA	0.009	0.011	0.249	0.053	0.238	0.212	0.047	1.045
SRCL	0.067	0.079	0.527	0.07	0.163	1.133	0.484	3.219
ARG	0.021	0.025	0.811	0.04	0.195	0.618	0.128	4.146
TE	0.008	0.01	0.063	0.075	0.188	0.133	0.053	0.337
DHI	0.199	0.236	32.891	0.077	0.23	3.044	1.024	142.685
MRK	-0.042	-0.049	-0.494	0.106	0.392	-0.46	-0.125	-1.257
PNC	-0.001	-0.002	-0.029	0.091	0.348	-0.022	-0.006	-0.085
CVX	-0.077	-0.089	-0.636	0.085	0.277	-1.041	-0.322	-2.294
NKE	0.056	0.066	0.592	0.114	0.307	0.581	0.216	1.922
BIIB	0.04	0.047	0.489	0.11	0.326	0.425	0.144	1.499
TYC	0.05	0.059	1.173	0.037	0.13	1.574	0.454	9.006
NUE	0.056	0.066	0.828	0.068	0.206	0.975	0.321	4.02
SRE	-0.04	-0.046	-0.19	0.091	0.192	-0.51	-0.242	-0.986
CINF	0.042	0.049	0.437	0.09	0.248	0.549	0.201	1.764
PCLN	-0.049	-0.057	-0.472	0.11	0.362	-0.52	-0.158	-1.301
