	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
HSY	0.193	0.046	0.657	0.044	0.145	1.041	0.318	4.525
KSU	0.7	0.145	2.2	0.123	0.353	1.182	0.413	6.229
WHR	0.678	0.142	2.686	0.145	0.448	0.975	0.316	5.992
APC	0.593	0.127	9.01	0.114	0.481	1.106	0.263	18.715
DIS	0.301	0.07	0.748	0.071	0.202	0.98	0.346	3.698
TMK	0.601	0.128	3.407	0.062	0.199	2.048	0.642	17.047
AMG	0.54	0.117	2.111	0.136	0.429	0.86	0.272	4.911
TMO	0.31	0.071	0.838	0.085	0.249	0.843	0.288	3.361
MHK	0.618	0.131	2.364	0.098	0.298	1.337	0.44	7.919
DHI	0.502	0.11	1.61	0.129	0.386	0.852	0.285	4.166
IVZ	0.496	0.109	1.948	0.111	0.353	0.979	0.308	5.519
HIG	0.415	0.093	1.514	0.096	0.305	0.963	0.304	4.953
A	0.553	0.119	3.074	0.094	0.322	1.259	0.37	9.524
UHS	0.613	0.13	1.851	0.093	0.265	1.397	0.491	6.98
PWR	0.47	0.103	2.369	0.096	0.329	1.075	0.315	7.179
FLR	0.434	0.096	3.331	0.072	0.272	1.342	0.356	12.241
UNP	0.466	0.103	1.853	0.097	0.31	1.063	0.332	5.977
FLS	0.412	0.092	1.819	0.084	0.282	1.092	0.327	6.437
TROW	0.443	0.098	0.927	0.098	0.256	1.002	0.384	3.612
CTXS	0.479	0.105	2.385	0.107	0.366	0.983	0.288	6.512
MO	0.2	0.047	0.846	0.045	0.161	1.044	0.296	5.234
PHM	0.604	0.128	2.553	0.134	0.426	0.96	0.302	5.988
DVN	0.419	0.093	1.355	0.09	0.273	1.041	0.343	4.954
SHW	0.404	0.091	1.705	0.074	0.242	1.227	0.374	7.022
BDX	0.214	0.051	0.61	0.064	0.195	0.799	0.261	3.12
FOX	0.589	0.126	1.713	0.084	0.238	1.488	0.53	7.197
AMP	0.888	0.177	2.365	0.12	0.319	1.47	0.553	7.393
XEC	0.654	0.137	2.701	0.108	0.336	1.267	0.41	8.03
HES	0.437	0.097	2.441	0.068	0.237	1.425	0.411	10.292
ADSK	0.357	0.081	2.462	0.075	0.288	1.084	0.282	8.526
BRK-B	0.343	0.078	2.391	0.048	0.177	1.64	0.444	13.5
MS	0.787	0.16	3.998	0.128	0.409	1.252	0.392	9.774
DHR	0.308	0.071	0.718	0.071	0.198	0.992	0.359	3.617
CBG	0.512	0.111	1.419	0.108	0.308	1.031	0.363	4.607
KO	0.194	0.046	0.665	0.051	0.169	0.906	0.275	3.926
AA	0.717	0.148	3.88	0.084	0.268	1.762	0.555	14.471
KEY	0.334	0.076	0.961	0.085	0.255	0.894	0.3	3.762
NEM	0.397	0.089	1.798	0.075	0.251	1.193	0.356	7.139
PRU	0.636	0.134	2.157	0.115	0.34	1.167	0.395	6.335
BBT	0.269	0.063	0.803	0.068	0.209	0.921	0.301	3.836
PFG	0.451	0.1	2.098	0.079	0.264	1.258	0.378	7.924
HRB	0.446	0.099	1.347	0.108	0.321	0.914	0.308	4.192
RF	0.437	0.097	2.444	0.077	0.272	1.254	0.357	8.962
FTR	0.535	0.116	4.017	0.09	0.331	1.284	0.35	12.126
HON	0.664	0.139	2.394	0.078	0.228	1.777	0.611	10.493
PCLN	0.569	0.122	2.224	0.121	0.38	1.004	0.321	5.842
AVY	0.32	0.073	0.76	0.083	0.23	0.891	0.32	3.291
PGR	0.233	0.055	0.788	0.062	0.203	0.878	0.271	3.871
FOXA	0.424	0.094	1.155	0.086	0.248	1.091	0.381	4.647
URI	0.652	0.137	1.822	0.183	0.515	0.749	0.266	3.532
